symbol-bse,company-full-name
AJCJEWEL,AJC JEWEL MANUFACTURERS LIMITE
AJCON,AJCON GLOBAL SERVICES LTD.
AJEL,AJEL LTD.
AJMERA,AJMERA REALTY & INFRA INDIA LT
AJRINFRA,AJR INFRA AND TOLLING LIMITED
AJWAFUN,AJWA FUN WORLD & RESORT LTD.
AAIL,AKAR AUTO INDUSTRIES LIMITED
AKI,AKI INDIA LIMITED
AFIL,AKME FINTRADE (INDIA) LIMITED
AKSHOPTFBR,AKSH OPTIFIBRE LTD.
AKSHAR,AKSHAR SPINTEX LIMITED
AKSHARCHEM,AKSHARCHEM (INDIA) LTD.
AKUMS,AKUMS DRUGS AND PHARMACEUTICAL
ALSL,ALACRITY SECURITIES LTD
ALANSCOTT,ALAN SCOTT ENTERPRISES LIMITED
ALANKIT,ALANKIT
ALBERTDAVD,ALBERT DAVID LTD.
ALCHCORP,ALCHEMIST CORPORATION LTD.
ALCHEM,ALCHEMIST LTD.
ALEMBICLTD,ALEMBIC LTD.
APLLTD,ALEMBIC PHARMACEUTICALS LTD.
ALEXANDER,ALEXANDER STAMPS AND COIN LIMI
ALFAICA,ALFA ICA (INDIA) LTD.
ALFATRAN,ALFA TRANSFORMERS LTD.
ALFAVIO,ALFAVISION OVERSEAS (INDIA) LT
ALFREDHE,ALFRED HERBERT (INDIA) LTD.
ALGOQUANT,ALGOQUANT FINTECH LIMITED
ALICON,ALICON CASTALLOY LIMITED
ALIVUS,ALIVUS LIFE SCIENCES LIMITED
ALKA,ALKA INDIA LTD.
ALKASEC,ALKA SECURITIES LTD.
ALKALI,ALKALI METALS LTD.
ALKEM,ALKEM LABORATORIES LIMITED
ALKOSIGN,ALKOSIGN LIMITED
ALKYLAMINE,ALKYL AMINES CHEMICALS LTD.
ALLTIME,ALL TIME PLASTICS LIMITED
ALLCARGO,ALLCARGO LOGISTICS LTD.
ATL,ALLCARGO TERMINALS LIMITED
ALLDIGI,ALLDIGI TECH LIMITED
AIML,ALLIANCE INTEGRATED METALIKS L
ABDL,ALLIED BLENDERS AND DISTILLERS
ADSL,ALLIED DIGITAL SERVICES LTD.
ALMONDZ,ALMONDZ GLOBAL SECURITIES LTD.
ALNATRD,ALNA TRADING & EXPORTS LTD.
ALOKINDS,ALOK INDUSTRIES LTD.
ALPA,ALPA LABORATORIES LTD.
ALPHAGEO,ALPHAGEO (INDIA) LTD.
ALPHAIND,ALPHALOGIC INDUSTRIES LIMITED
ALPHALOGIC,ALPHALOGIC TECHSYS LIMITED
ALPINEHOU,ALPINE HOUSING DEVELOPMENT COR
ALPSINDUS,ALPS INDUSTRIES LTD.
ALSTONE,ALSTONE TEXTILES (INDIA) LTD
ALTIUSINVIT,ALTIUS TELECOM INFRASTRUCTURE
ALUFLUOR,ALUFLUORIDE LTD.
AMAGI,AMAGI MEDIA LABS LIMITED
AMAL,AMAL LTD.
AMALGAM,AMALGAMATED ELECTRICITY CO.LTD
AMANAYA,AMANAYA VENTURES LIMITED
AMANTA,AMANTA HEALTHCARE LIMITED
ARE&M,AMARA RAJA ENERGY & MOBILITY L
AMARJOTHI,AMARJOTHI SPINNING MILLS LTD.
AMARSEC,AMARNATH SECURITIES LTD
AEL,AMBA ENTERPRISES LTD.
AMBALALSA,AMBALAL SARABHAI ENTERPRISES L
AMBARPIL,AMBAR PROTEIN INDUSTRIES LIMIT
AIHL,AMBASSADOR INTRA HOLDINGS LIMI
AMBER,AMBER ENTERPRISES INDIA LIMITE
AMBICAAGAR,AMBICA AGARBATHIES & AROMA IND
AMBIKCO,AMBIKA COTTON MILLS LTD.
AMBITION,AMBITION MICA LIMITED
AMBIT,AMBITIOUS PLASTOMAC COMPANY LT
AMBOAGRI,AMBO AGRITEC LIMITED
AMBUJACEM,AMBUJA CEMENTS LTD.
AMCOIND,AMCO INDIA LTD.
AMDIND,AMD INDUSTRIES LTD.
AMEENJI,AMEENJI RUBBER LIMITED
AMERISE,AMERISE BIOSCIENCES LIMITED
AMFORG,AMFORGE INDUSTRIES LTD.
AMIC,AMIC FORGING LIMITED
AMINTAN,AMIN TANNERY LIMITED
AMNPLST,AMINES & PLASTICIZERS LTD.
AMIRCHAND,AMIR CHAND JAGDISH KUMAR (EXPO
AMITINT,AMIT INTERNATIONAL LTD.
AMITSEC,AMIT SECURITIES LTD.
ASIL,AMIT SPINNING INDUSTRIES LTD.
AMJLAND,AMJ LAND HOLDINGS LIMITED
AMKAY,AMKAY PRODUCTS LIMITED
AMPVOLTS,AMPVOLTS LIMITED
ACFSL,AMRAPALI CAPITAL AND FINANCE S
AMRAFIN,AMRAPALI FINCAP LIMITED
AMRAPLIN,AMRAPALI INDUSTRIES LTD.
AMRAAGRI,AMRAWORLD AGRICO LTD.
AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.
AMS,AMS POLYMERS LIMITED
AMWILL,AMWILL HEALTH CARE LIMITED
ANANDPROJ,ANAND PROJECTS LTD
ARSSBL,ANAND RATHI SHARE AND STOCK BR
ANANDRATHI,ANAND RATHI WEALTH LIMITED
ARL,ANAND RAYONS LIMITED
ANANTRAJ,ANANT RAJ LIMITED
ANANTAM,ANANTAM HIGHWAYS TRUST
ACL,ANDHRA CEMENTS LTD.
ANDHRAPAP,ANDHRA PAPER LIMITED
ANDHRAPET,ANDHRA PETROCHEMICALS LTD.
APTANN,ANDHRA PRADESH TANNERIES LTD.
ANDHRSUGAR,ANDHRA SUGARS LTD.
ANDREWYU,ANDREW YULE & COMPANY LTD.
ANG,ANG LIFESCIENCES INDIA LIMITED
ANGEL,ANGEL FIBERS LIMITED
ANGELONE,ANGEL ONE LIMITED
ANIKINDS,ANIK INDUSTRIES LTD.
ANIRIT,ANIRIT VENTURES LIMITED
ANJANIFIN,ANJANI FINANCE LTD.
ANJANIFOODS,ANJANI FOODS LIMITED
APCL,ANJANI PORTLAND CEMENT LTD.
ANJANI,ANJANI SYNTHETICS LTD.
ANKIN,ANKA INDIA LTD.
ANKITMETAL,ANKIT METAL & POWER LTD.
AHCL,ANLON HEALTHCARE LIMITED
ANMOL,ANMOL INDIA LIMITED
ANNAINFRA,ANNA INFRASTRUCTURES LTD.
ANVRDHI,ANNVRRIDHHI VENTURES LIMITED
ANSINDUS,ANS INDUSTRIES LTD
ANSALBU,ANSAL BUILDWELL LTD.
ANSALHSG,ANSAL HOUSING LIMITED
ANSALAPI,ANSAL PROPERTIES & INFRASTRUCT
ANTARIKSH,ANTARIKSH INDUSTRIES LIMITED
ANTELOPUS,ANTELOPUS SELAN ENERGY LIMITED
ANTHEM,ANTHEM BIOSCIENCES LIMITED
AWHCL,ANTONY WASTE HANDLING CELL LIM
ANUHPHR,ANUH PHARMA LTD.
ANUPAM,ANUPAM FINSERV LIMITED
ANURAS,ANUPAM RASAYAN INDIA LIMITED
ANUROOP,ANUROOP PACKAGING LIMITED
ANZEN,ANZEN INDIA ENERGY YIELD PLUS
APARINDS,APAR INDUSTRIES LTD.
APCOTEXIND,APCOTEX INDUSTRIES LTD.
PARKHOTELS,APEEJAY SURRENDRA PARK HOTELS
ACFL,APEX CAPITAL AND FINANCE LIMIT
APEX,APEX FROZEN FOODS LIMITED
APIS,APIS INDIA LTD.
APLAPOLLO,APL APOLLO TUBES LTD.
APLAB,APLAB LTD.
APMIN,APM INDUSTRIES LTD.
APOLLOFI,APOLLO FINVEST (INDIA) LTD.
APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LT
APOLLO,APOLLO MICRO SYSTEMS LIMITED
APOLLOPIPE,APOLLO PIPES LIMITED
ATIL,APOLLO TECHNO INDUSTRIES LIMIT
